Timestamp,Name,Value
3.2864,"NT:/Shuffleboard/.metadata/Electric Eagles/Ready To Shoot/Properties/Color when false","#800000"
3.286511,"NT:/Shuffleboard/.metadata/Electric Eagles/Ready To Shoot/Properties/Color when true","#03fc13"
3.407216,"NT:/Shuffleboard/.metadata/Electric Eagles/Has Note/PreferredComponent","Boolean Box"
3.407309,"NT:/Shuffleboard/.metadata/Electric Eagles/Has Note/Size",1;1
3.407365,"NT:/Shuffleboard/.metadata/Electric Eagles/Has Note/Position",4;1
3.939138,"NT:/Shuffleboard/Electric Eagles/Has Note",false
3.407569,"NT:/Shuffleboard/.metadata/Electric Eagles/Has Note/Properties/Color when false","#800000"
3.40794,"NT:/Shuffleboard/.metadata/Electric Eagles/Has Note/Properties/Color when true","#ffbf00"
3.408719,"NT:/Shuffleboard/Electric Eagles/Climber","IDLE"
3.491563,"NT:/Shuffleboard/Electric Eagles/Arm","SAFE"
3.500226,"NT:/Shuffleboard/.metadata/Electric Eagles/Arm Angle/PreferredComponent","Number Bar"
3.5003,"NT:/Shuffleboard/.metadata/Electric Eagles/Arm Angle/Size",1;1
3.500356,"NT:/Shuffleboard/.metadata/Electric Eagles/Arm Angle/Position",4;0
3.93923,"NT:/Shuffleboard/Electric Eagles/Arm Angle",-1
3.500523,"NT:/Shuffleboard/.metadata/Electric Eagles/Arm Angle/Properties/Min",0
3.500616,"NT:/Shuffleboard/.metadata/Electric Eagles/Arm Angle/Properties/Max",60
3.502155,"NT:/Shuffleboard/.metadata/Electric Eagles/Spark Max Errored/PreferredComponent","Boolean Box"
3.502248,"NT:/Shuffleboard/.metadata/Electric Eagles/Spark Max Errored/Size",1;1
3.502304,"NT:/Shuffleboard/.metadata/Electric Eagles/Spark Max Errored/Position",5;3
3.939323,"NT:/Shuffleboard/Electric Eagles/Spark Max Errored",false
3.502471,"NT:/Shuffleboard/.metadata/Electric Eagles/Spark Max Errored/Properties/Color when false","#ff0000"
3.502582,"NT:/Shuffleboard/.metadata/Electric Eagles/Spark Max Errored/Properties/Color when true","#000000"
3.504455,"NT:/Shuffleboard/.metadata/Electric Eagles/encoder/PreferredComponent","Boolean Box"
3.504548,"NT:/Shuffleboard/.metadata/Electric Eagles/encoder/Size",1;1
3.504604,"NT:/Shuffleboard/.metadata/Electric Eagles/encoder/Position",5;3
3.939379,"NT:/Shuffleboard/Electric Eagles/encoder",false
3.504789,"NT:/Shuffleboard/.metadata/Electric Eagles/encoder/Properties/Color when false","#ff0000"
3.504901,"NT:/Shuffleboard/.metadata/Electric Eagles/encoder/Properties/Color when true","#000000"
3.729968,"NT:/Shuffleboard/.metadata/Electric Eagles/Arm Aim Spot/PreferredComponent","Text View"
3.730042,"NT:/Shuffleboard/.metadata/Electric Eagles/Arm Aim Spot/Size",1;1
3.730098,"NT:/Shuffleboard/.metadata/Electric Eagles/Arm Aim Spot/Position",8;3
3.939434,"NT:/Shuffleboard/Electric Eagles/Arm Aim Spot","N/A"
3.939453,"NT:/Shuffleboard/Autonomous/Custom Auto Positions",""
3.737722,"NT:/Shuffleboard/.metadata/Autonomous/POSITION_1/PreferredComponent","Toggle Button"
3.737833,"NT:/Shuffleboard/.metadata/Autonomous/POSITION_1/Position",1;1
3.939471,"NT:/Shuffleboard/Autonomous/POSITION_1",false
3.739354,"NT:/Shuffleboard/.metadata/Autonomous/POSITION_2/PreferredComponent","Toggle Button"
3.739465,"NT:/Shuffleboard/.metadata/Autonomous/POSITION_2/Position",2;1
3.939583,"NT:/Shuffleboard/Autonomous/POSITION_2",false
