Timestamp,Name,Value
3.793233,"NT:/Shuffleboard/.metadata/Electric Eagles/Ready To Shoot/Properties/Color when true","#03fc13"
3.863186,"NT:/Shuffleboard/.metadata/Electric Eagles/Has Note/PreferredComponent","Boolean Box"
3.863297,"NT:/Shuffleboard/.metadata/Electric Eagles/Has Note/Size",1;1
3.863352,"NT:/Shuffleboard/.metadata/Electric Eagles/Has Note/Position",4;1
4.450349,"NT:/Shuffleboard/Electric Eagles/Has Note",false
3.863538,"NT:/Shuffleboard/.metadata/Electric Eagles/Has Note/Properties/Color when false","#800000"
3.863649,"NT:/Shuffleboard/.metadata/Electric Eagles/Has Note/Properties/Color when true","#ffbf00"
3.864261,"NT:/Shuffleboard/Electric Eagles/Climber","IDLE"
3.964413,"NT:/Shuffleboard/Electric Eagles/Arm","SAFE"
3.971536,"NT:/Shuffleboard/.metadata/Electric Eagles/Arm Angle/PreferredComponent","Number Bar"
3.97161,"NT:/Shuffleboard/.metadata/Electric Eagles/Arm Angle/Size",1;1
3.97213,"NT:/Shuffleboard/.metadata/Electric Eagles/Arm Angle/Position",4;0
4.450423,"NT:/Shuffleboard/Electric Eagles/Arm Angle",-1
3.972705,"NT:/Shuffleboard/.metadata/Electric Eagles/Arm Angle/Properties/Min",0
3.972853,"NT:/Shuffleboard/.metadata/Electric Eagles/Arm Angle/Properties/Max",60
3.975914,"NT:/Shuffleboard/.metadata/Electric Eagles/Spark Max Errored/PreferredComponent","Boolean Box"
3.975988,"NT:/Shuffleboard/.metadata/Electric Eagles/Spark Max Errored/Size",1;1
3.976044,"NT:/Shuffleboard/.metadata/Electric Eagles/Spark Max Errored/Position",5;3
4.450534,"NT:/Shuffleboard/Electric Eagles/Spark Max Errored",false
3.976359,"NT:/Shuffleboard/.metadata/Electric Eagles/Spark Max Errored/Properties/Color when false","#ff0000"
3.976656,"NT:/Shuffleboard/.metadata/Electric Eagles/Spark Max Errored/Properties/Color when true","#000000"
4.170633,"NT:/Shuffleboard/.metadata/Electric Eagles/Arm Aim Spot/PreferredComponent","Text View"
4.170726,"NT:/Shuffleboard/.metadata/Electric Eagles/Arm Aim Spot/Size",1;1
4.170782,"NT:/Shuffleboard/.metadata/Electric Eagles/Arm Aim Spot/Position",8;3
4.45059,"NT:/Shuffleboard/Electric Eagles/Arm Aim Spot","N/A"
4.45059,"NT:/Shuffleboard/Autonomous/Custom Auto Positions",""
4.179185,"NT:/Shuffleboard/.metadata/Autonomous/POSITION_1/PreferredComponent","Toggle Button"
4.179278,"NT:/Shuffleboard/.metadata/Autonomous/POSITION_1/Position",1;1
4.450627,"NT:/Shuffleboard/Autonomous/POSITION_1",false
4.184713,"NT:/Shuffleboard/.metadata/Autonomous/POSITION_2/PreferredComponent","Toggle Button"
4.184824,"NT:/Shuffleboard/.metadata/Autonomous/POSITION_2/Position",2;1
4.450664,"NT:/Shuffleboard/Autonomous/POSITION_2",false
4.186753,"NT:/Shuffleboard/.metadata/Autonomous/POSITION_3/PreferredComponent","Toggle Button"
4.186827,"NT:/Shuffleboard/.metadata/Autonomous/POSITION_3/Position",3;1
4.450683,"NT:/Shuffleboard/Autonomous/POSITION_3",false
4.188478,"NT:/Shuffleboard/.metadata/Autonomous/POSITION_1_RED/PreferredComponent","Toggle Button"
4.188553,"NT:/Shuffleboard/.metadata/Autonomous/POSITION_1_RED/Position",4;1
